lltable
s                   | int                 | s -> Program $ 
s                   | char                | s -> Program $ 
s                   | double              | s -> Program $ 
s                   | float               | s -> Program $ 
s                   | epsilon             | s -> Program $ 
Program             | int                 | Program -> DeclList 
Program             | char                | Program -> DeclList 
Program             | double              | Program -> DeclList 
Program             | float               | Program -> DeclList 
Program             | epsilon             | Program -> DeclList 
DeclList            | int                 | DeclList -> DeclList' DeclList 
DeclList            | char                | DeclList -> DeclList' DeclList 
DeclList            | double              | DeclList -> DeclList' DeclList 
DeclList            | float               | DeclList -> DeclList' DeclList 
DeclList            | epsilon             | DeclList -> epsilon 
DeclList'           | int                 | DeclList' -> Type id Decl 
DeclList'           | char                | DeclList' -> Type id Decl 
DeclList'           | double              | DeclList' -> Type id Decl 
DeclList'           | float               | DeclList' -> Type id Decl 
Decl                | ;                   | Decl -> VarDecl' 
Decl                | [                   | Decl -> VarDecl' 
VarDecl             | int                 | VarDecl -> Type id VarDecl' 
VarDecl             | char                | VarDecl -> Type id VarDecl' 
VarDecl             | double              | VarDecl -> Type id VarDecl' 
VarDecl             | float               | VarDecl -> Type id VarDecl' 
VarDecl'            | ;                   | VarDecl' -> ; 
VarDecl'            | [                   | VarDecl' -> [ num ] ; 
FunDecl             | (                   | FunDecl -> ( ParamDeclList ) Block 
VarDeclList         | int                 | VarDeclList -> VarDecl VarDeclList 
VarDeclList         | char                | VarDeclList -> VarDecl VarDeclList 
VarDeclList         | double              | VarDeclList -> VarDecl VarDeclList 
VarDeclList         | float               | VarDeclList -> VarDecl VarDeclList 
VarDeclList         | epsilon             | VarDeclList -> epsilon 
ParamDeclList       | int                 | ParamDeclList -> ParamDeclListTail 
ParamDeclList       | char                | ParamDeclList -> ParamDeclListTail 
ParamDeclList       | double              | ParamDeclList -> ParamDeclListTail 
ParamDeclList       | float               | ParamDeclList -> ParamDeclListTail 
ParamDeclList       | epsilon             | ParamDeclList -> epsilon 
ParamDeclListTail   | int                 | ParamDeclListTail -> ParamDecl ParamDeclListTail' 
ParamDeclListTail   | char                | ParamDeclListTail -> ParamDecl ParamDeclListTail' 
ParamDeclListTail   | double              | ParamDeclListTail -> ParamDecl ParamDeclListTail' 
ParamDeclListTail   | float               | ParamDeclListTail -> ParamDecl ParamDeclListTail' 
